country_id,country_name,region
AGO,Angola,Africa
ALB,Albania,Europe and Central Asia
AND,Andorra,Europe and Central Asia
ARB,Arab World,REGION
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan"
ARG,Argentina,Latin America and the Caribbean
ARM,Armenia,Europe and Central Asia
ASM,American Samoa,OCEANIA
ATG,Antigua and Barbuda,Latin America and the Caribbean
AUS,Australia,OCEANIA
AUT,Austria,Europe and Central Asia
AZE,Azerbaijan,Europe and Central Asia
BDI,Burundi,Africa
BEL,Belgium,Europe and Central Asia
BEN,Benin,Africa
BFA,Burkina Faso,Africa
BGD,Bangladesh,South Asia
BGR,Bulgaria,Europe and Central Asia
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan"
BHS,Bahamas The,Latin America and the Caribbean
BIH,Bosnia and Herzegovina,Europe and Central Asia
BLR,Belarus,Europe and Central Asia
BLZ,Belize,Latin America and the Caribbean
BMU,Bermuda,Latin America and the Caribbean
BOL,Bolivia,Latin America and the Caribbean
BRA,Brazil,Latin America and the Caribbean
BRB,Barbados,Latin America and the Caribbean
BRN,Brunei Darussalam,East Asia and Pacific
BTN,Bhutan,South Asia
BWA,Botswana,Africa
CAF,Central African Republic,Africa
CAN,Canada,North America
CEB,Central Europe and the Baltics,REGION
CHE,Switzerland,Europe and Central Asia
CHI,Channel Islands,Europe and Central Asia
CHL,Chile,Latin America and the Caribbean
CHN,China,East Asia and Pacific
CIV,Cote d'Ivoire,Africa
CMR,Cameroon,Africa
COD,Congo Dem. Rep.,Africa
COG,Congo Rep.,Africa
COL,Colombia,Latin America and the Caribbean
COM,Comoros,Africa
CPV,Cabo Verde,Africa
CRI,Costa Rica,Latin America and the Caribbean
CSS,Caribbean small states,REGION
CUB,Cuba,Latin America and the Caribbean
CUW,Curacao,Latin America and the Caribbean
CYM,Cayman Islands,Latin America and the Caribbean
CYP,Cyprus,Europe and Central Asia
CZE,Czechia,Europe and Central Asia
